baseline_test,np4_test,baseline_status,baseline_time_s,np4_status,np4_time_s,delta_s,ratio_np4_over_np1,np4_failure_reason
ogs-PhaseField_3D_beam_tens_AT1_iso-mpirun-vtkdiff,ogs-PhaseField_3D_beam_tens_AT1_iso-mpirun-np4-vtkdiff,PASS,0.042783,FAIL,0.035465,-0.007317,0.828964,missing np4 result file for vtkdiff
ogs-PhaseField_3D_beam_tens_AT1_vd-mpirun,ogs-PhaseField_3D_beam_tens_AT1_vd-mpirun-np4,PASS,15.128000,FAIL,0.162794,-14.965206,0.010761,missing cfg4 partitioned mesh
ogs-PhaseField_3D_beam_tens_AT1_vd-mpirun-vtkdiff,ogs-PhaseField_3D_beam_tens_AT1_vd-mpirun-np4-vtkdiff,PASS,0.042221,FAIL,0.034710,-0.007511,0.822111,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_1e0-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_1e0-mpirun-np4,PASS,0.199966,FAIL,0.177998,-0.021968,0.890141,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_1e0-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_1e0-mpirun-np4-vtkdiff,PASS,0.023093,FAIL,0.023714,0.000622,1.026918,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_1e1-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_1e1-mpirun-np4,PASS,0.191425,FAIL,0.177260,-0.014165,0.926002,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_1e1-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_1e1-mpirun-np4-vtkdiff,PASS,0.022712,FAIL,0.024657,0.001945,1.085623,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_1e2-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_1e2-mpirun-np4,PASS,0.169715,FAIL,0.161847,-0.007868,0.953640,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_1e2-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_1e2-mpirun-np4-vtkdiff,PASS,0.022189,FAIL,0.025046,0.002856,1.128719,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_1e3-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_1e3-mpirun-np4,PASS,0.200836,FAIL,0.161543,-0.039293,0.804353,missing cfg4 partitioned mesh
