time_days,suction_MPa,mean_stress_MPa,radial_stress_MPa,axial_stress_MPa,swelling_stress_MPa,saturation,porosity,void_ratio,permeability_m2,dry_density
0.0,100.0,0.10928038370519834,0.10928038370519833,0.10928038370519833,-0.04071961629480163,1.75535717072961e-08,0.4244604316546762,0.7374999999999997,5.870299999999997e-21,1599.9999999999995
10.0,50.0,10.975106847694523,10.975106847694523,10.975106847694523,10.82510684769452,7.021428483078294e-08,0.42446043165467595,0.737499999999999,5.870299999999979e-21,1600.0000000000005
11.0,44.99999999999999,12.207551510293543,12.207551510293543,12.207551510293543,12.057551510293543,8.66843015145946e-08,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000007
12.0,40.0,13.238162362690757,13.238162362690758,13.238162362690758,13.088162362690753,1.0970981789704125e-07,0.42446043165467595,0.737499999999999,5.870299999999979e-21,1600.0000000000005
13.0,35.0,14.136349688026783,14.136349688026781,14.136349688026781,13.986349688026781,1.4329445363614468e-07,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
14.0,30.000000000000004,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,1.950396679717414e-07,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
15.0,25.0,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,2.8085710979119927e-07,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
16.0,19.999999999999996,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,4.388391994236684e-07,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
17.0,15.000000000000002,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,7.801584435140894e-07,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
18.0,9.999999999999998,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,1.7553556420635272e-06,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
19.0,5.000000000000004,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,7.021404080487236e-06,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
20.0,1.2924697071141057e-32,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,0.9999999999999999,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
21.0,-1.4149498560666737e-79,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,0.9999999999999999,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
22.0,1.5490367659397272e-126,14.43722093258194,14.437220932581942,14.437220932581942,14.287220932581938,0.9999999999999999,0.42446043165467584,0.7374999999999987,5.870299999999978e-21,1600.0000000000005
