time_days,suction_MPa,mean_stress_MPa,radial_stress_MPa,axial_stress_MPa,swelling_stress_MPa,saturation,porosity,void_ratio,permeability_m2,dry_density
0.0,100.0,0.1416451946323244,0.1416451946323244,0.1416451946323244,-0.008354805367675596,1.7553571707296094e-08,0.42446043165467606,0.7374999999999994,5.8702999999999965e-21,1599.999999999999
1.0,95.38851541916995,0.12443524714213598,0.1263014872807708,0.12070276686486615,-0.0380131818732926,1.9291825171563316e-08,0.42427951692813815,0.736954007028406,5.859112952895678e-21,1600.5029429397746
5.0,77.21202878724027,0.1289846135708349,0.13060448068903996,0.12574487933442458,-0.03217791804064285,2.9443915584074373e-08,0.4242966008975042,0.7370055510510617,5.860168532562186e-21,1600.4554495049374
10.0,72.5785495437179,0.537218337007193,0.5671907786538574,0.4772734537138643,-0.013481034180155373,3.3323370665241484e-08,0.4190956820176427,0.7214538936003762,5.5466324482861386e-21,1614.914003990952
15.0,72.1535743217404,1.211099229848229,1.290144346614139,1.0530089963164098,-0.002401815218055711,3.37170673744569e-08,0.4101368434561623,0.6953084607949769,5.041767950355164e-21,1639.8195751918674
20.0,71.96762412754202,1.664937206745275,1.776376053911979,1.4420595124118678,0.008010153768099717,3.389152904577735e-08,0.4040669235265813,0.6780407724936954,4.723500118486815e-21,1656.6939525961025
50.0,70.7656871638346,2.771949628472057,2.9568648563202617,2.402119172775647,0.38800722591947273,3.505258319342401e-08,0.393981618950648,0.6501149656029386,4.2340423651644306e-21,1684.7310993171975
100.0,60.53094258297502,4.819183943313625,4.738498259501865,4.980555310937133,4.379273880353162,4.7908236524329915e-08,0.4205553464321814,0.7257903646926295,5.633053134269431e-21,1610.856136918535
150.0,51.62858075017415,6.220656600506749,5.921470013588852,6.819029774342527,7.503103102728153,6.585430071976529e-08,0.4431271712369177,0.7957421306067046,7.13463225483532e-21,1548.1064639613674
200.0,46.4789582409973,6.938994981681132,6.531743869251614,7.753497206540137,9.109873868416987,8.125529792601615e-08,0.45442585551253245,0.832931435816917,8.016416972469417e-21,1516.6961216751579
