time_days,suction_MPa,mean_stress_MPa,radial_stress_MPa,axial_stress_MPa,swelling_stress_MPa,saturation,porosity,void_ratio,permeability_m2,dry_density
0.0,100.0,0.144162149456674,0.144162149456674,0.14416214945667397,-0.005837850543326019,1.75535717072961e-08,0.4964028776978417,0.9857142857142857,1.2263999999999998e-20,1399.9999999999998
10.0,50.0,0.13840048527860493,0.138400485278605,0.13840048527860488,-0.011599514721397907,7.021428483078294e-08,0.4964028776978413,0.9857142857142841,1.2263999999999955e-20,1400.000000000001
16.0,19.999999999999996,2.7528245917579817,2.7528245917579817,2.7528245917579817,2.6028245917579755,4.388391994236684e-07,0.49640287769784125,0.985714285714284,1.2263999999999947e-20,1400.000000000001
18.0,9.999999999999998,4.137002133172826,4.137002133172826,4.137002133172826,3.9870021331728114,1.7553556420635272e-06,0.49640287769784125,0.985714285714284,1.2263999999999947e-20,1400.000000000001
19.0,5.000000000000004,4.579239574771052,4.579239574771052,4.579239574771052,4.42923957477103,7.021404080487236e-06,0.49640287769784125,0.985714285714284,1.2263999999999947e-20,1400.000000000001
19.6,2.0000000000000018,4.754946030681783,4.754946030681784,4.754946030681784,4.604946030681727,4.388296668134117e-05,0.49640287769784125,0.985714285714284,1.2263999999999947e-20,1400.000000000001
19.8,1.0000000000000009,4.800800823740735,4.800800823740734,4.800800823740736,4.65080082374067,0.00017552031277467958,0.49640287769784125,0.985714285714284,1.2263999999999947e-20,1400.000000000001
19.9,0.5000000000000004,4.821422926157972,4.821422926157971,4.821422926157973,4.671422926157903,0.0007018964284457584,0.49640287769784125,0.985714285714284,1.2263999999999947e-20,1400.000000000001
19.98,0.10000000000000009,4.836797553943363,4.836797553943362,4.836797553943364,4.686797553943292,0.01740040540019216,0.4964028776978412,0.9857142857142837,1.2263999999999946e-20,1400.000000000001
20.0,-8.07793566946316e-34,4.840478478251007,4.840478478251007,4.840478478251008,4.690478478250934,0.9999999999999999,0.49640287769784114,0.9857142857142833,1.2263999999999944e-20,1400.000000000001
100.0,-0.0,4.922047492818271,4.922047492818271,4.922047492818271,4.772047492818079,0.9999999999999999,0.49640287769784114,0.9857142857142833,1.2263999999999935e-20,1400.0000000000014
200.0,-0.0,4.922047492818271,4.922047492818271,4.922047492818271,4.772047492818079,0.9999999999999999,0.49640287769784114,0.9857142857142833,1.2263999999999935e-20,1400.0000000000014
