time_days,suction_MPa,mean_stress_MPa,radial_stress_MPa,axial_stress_MPa,swelling_stress_MPa,saturation,porosity,void_ratio,permeability_m2,dry_density
0.0,100.0,0.13216986777317868,0.13216986777317868,0.13216986777317868,-0.017830132226821224,1.7553571707296094e-08,0.42446043165467606,0.7374999999999994,5.8702999999999965e-21,1599.999999999999
1.0,96.0570059796161,0.12151586863557465,0.1235971171279649,0.117353371650794,-0.042374927039488045,1.902424380947297e-08,0.4242606030101671,0.736896945438075,5.8579445054327075e-21,1600.5555236317336
5.0,86.57991890133674,0.27956709636423027,0.2917023888946074,0.25529651130347586,-0.023780335076133224,2.3416994061357378e-08,0.42240425165704354,0.7313146830960301,5.744283997708487e-21,1605.7161803934177
10.0,85.6734838394909,0.9894446139004788,1.051924595963655,0.8644846497741259,-0.007701866424791778,2.3915124124726977e-08,0.4130788542661071,0.7038063925088072,5.202815439671771e-21,1631.6407851402214
15.0,85.41780526894237,1.763474960188658,1.8847384579254571,1.5209479647150599,0.004844578164139243,2.4058507329145193e-08,0.4026680803520155,0.6741111049101697,4.652744349107423e-21,1660.5827366213953
20.0,85.26096245697528,2.229077456176514,2.3860761746624997,1.9150800192045425,0.019431188580254107,2.4147102919922406e-08,0.39641619949765716,0.6567707734497398,4.3478843827875545e-21,1677.962965396512
50.0,82.54598661751673,3.7074018953685233,3.908189425878331,3.3058268343489066,1.035160022233667,2.576164155082923e-08,0.3899347568607031,0.6391689433972046,4.050624849698348e-21,1695.9813759272442
100.0,65.56443667530542,6.71884578857904,6.463634584851385,7.229268196034349,7.473482610493213,4.083455899319865e-08,0.4362877569434872,0.7739547301259321,6.645108627489896e-21,1567.1200356971044
150.0,55.601082272522795,8.140039854537234,7.665312992254577,9.089493579102545,10.68172524598514,5.678031855835386e-08,0.45905239783182317,0.8486078799349349,8.405721135351333e-21,1503.83433402753
200.0,50.45785056967832,8.781179499624654,8.21132701782752,9.920884463218917,12.120292980751591,6.894567115896098e-08,0.46891445384098424,0.8829358231123531,9.295028876534305e-21,1476.4178183220624
