time_days,suction_MPa,mean_stress_MPa,radial_stress_MPa,axial_stress_MPa,swelling_stress_MPa,saturation,porosity,void_ratio,permeability_m2,dry_density
0.0,100.0,0.1303868556878317,0.1303868556878317,0.1303868556878317,-0.019613144312168207,1.7553571707296094e-08,0.5503597122302155,1.2239999999999984,4.032514999999998e-20,1249.999999999999
1.0,95.76966729936188,0.12994759490308946,0.130105306479915,0.1296321717494384,-0.019539842472227373,1.9138455170665087e-08,0.5503281248884552,1.2238437744231652,4.0358645161783673e-20,1250.0878128100935
5.0,82.02313005211884,0.42708167291338167,0.4747794052923293,0.3316862081554865,0.4320993031449643,2.608525526884748e-08,0.5524124768338792,1.2341999011193456,4.0451186250488814e-20,1244.2933144018145
10.0,70.70992311335368,1.5485169555644624,1.866638517063065,0.912273832567258,2.432412030434935,3.502565872136206e-08,0.5639864597594223,1.29350675542836,4.1040555069450027e-20,1212.1176418688044
15.0,59.017601226745995,2.5019115603638893,3.098204052573269,1.3093265759451307,4.289862160043907,5.010591491698039e-08,0.5754964393572806,1.355692843862017,4.1698583422846173e-20,1180.1198985867584
20.0,49.1325408045942,3.2085990293054008,4.006949344585748,1.6118983987447106,5.6532375539662985,7.200717070953954e-08,0.583698138894103,1.4021031213829347,4.213660549477161e-20,1157.3191738743922
50.0,36.034867718405984,4.263745694089067,5.1707107003684865,2.4498156815302274,7.061381964497168,1.3400412736873282e-07,0.5892050675026023,1.434304615007233,4.110389281040511e-20,1142.0099123427644
100.0,33.9591547622709,4.747162630739562,5.476684721798902,3.28811844862089,6.96810942668237,1.5136500564220656e-07,0.5839067506749817,1.403307435586106,3.889030386158471e-20,1156.7392331235496
150.0,33.974507465370834,5.185998464960877,5.772284196057896,4.013427002766854,6.941427091026131,1.5133895085406764e-07,0.5793924884544273,1.3775134122673656,3.7358487908646927e-20,1169.2888820966907
200.0,34.12485629538593,5.5161473015679094,5.995255024446278,4.557931855811189,6.9232474009225715,1.5005404257778168e-07,0.575976932087449,1.3583622582680726,3.625052944215223e-20,1178.7841287968902
